ipc_section,offence,bns_section,confidence,needs_review,notes
300,"Murder (definition)","BNS 101",high,N,"Standard renumbering"
302,"Punishment for murder","BNS 103(1)",high,N,"Confirmed: directory + tables"
304,"Punishment - culpable homicide not murder","BNS 105",high,N,"Confirmed: directory + tables"
304A,"Death by negligence","BNS 106(1)",high,N,"Confirmed: directory + tables"
304B,"Dowry death","BNS 80",high,N,"Confirmed: directory + 2 tables"
306,"Abetment of suicide","BNS 108",high,N,"Confirmed: directory + tables"
307,"Attempt to murder","BNS 109",high,N,"Confirmed: directory + tables"
308,"Attempt to commit culpable homicide","BNS 110",high,N,"Confirmed: directory"
313,"Causing miscarriage without consent","BNS 89",med,Y,"Not in directory; BNS 88 miscarriage/89 without consent; verify"
320,"Grievous hurt (definition)","BNS 116",high,N,"Standard renumbering"
323,"Punishment - voluntarily causing hurt","BNS 115(2)",high,N,"Confirmed: directory + tables"
324,"Voluntarily causing hurt by dangerous weapons","BNS 118(1)",high,N,"Confirmed: directory"
325,"Punishment - grievous hurt","BNS 117(2)",high,N,"RESOLVED by directory (was 117(2) vs 118(2) conflict)"
326,"Grievous hurt by dangerous weapons","BNS 118(2)",high,N,"RESOLVED by directory (was 118(2) vs 118(3) conflict)"
332,"Hurt to deter public servant","BNS 121(1)",high,N,"Confirmed: directory"
336,"Act endangering life/safety","BNS 125",med,Y,"Directory: 337->125(A),338->125(B); 336 base->125; verify"
337,"Hurt endangering life","BNS 125(A)",high,N,"Confirmed: directory"
338,"Grievous hurt endangering life","BNS 125(B)",high,N,"Confirmed: directory"
341,"Punishment - wrongful restraint","BNS 126(2)",med,Y,"Directory shows 341->127(1) but that conflicts its own 343-348->127(3-8); 341->126(2) per BNS; verify"
342,"Wrongful confinement","BNS 127(2)",high,N,"Confirmed: directory"
353,"Assault/criminal force to deter public servant","BNS 132",high,N,"RESOLVED by directory (blogs' 121 was an error)"
354,"Assault on woman to outrage modesty","BNS 74",high,N,"Confirmed: directory + 2 tables"
363,"Punishment for kidnapping","BNS 137",high,N,"RESOLVED by directory (was 137(2)/139 conflict)"
364,"Kidnapping to murder","BNS 140(1)",high,N,"Confirmed: directory"
365,"Kidnapping to secretly/wrongfully confine","BNS 140(3)",high,N,"Corrected by directory (was 140(2))"
366,"Kidnap/abduct woman to compel marriage","BNS 87",high,N,"Confirmed: directory"
366A,"Procuration of minor girl","BNS 96",high,N,"Confirmed: directory"
375,"Rape (definition)","BNS 63",high,N,"Confirmed: tables (dir starts at 376)"
376,"Punishment for rape","BNS 64",high,N,"Confirmed: directory (376(1)->64(1)) + tables"
376(2),"Aggravated rape","BNS 64(2)",high,N,"Confirmed: directory"
379,"Theft (punishment)","BNS 303(2)",high,N,"Confirmed: directory + tables"
380,"Theft in dwelling house","BNS 305(a)",high,N,"Corrected by directory (was 305)"
384,"Extortion (punishment)","BNS 308(2)",high,N,"Confirmed: directory"
389,"Fear of accusation to commit extortion","BNS 308(7)",high,N,"Confirmed: directory"
392,"Robbery (punishment)","BNS 309(4)",high,N,"Confirmed: directory"
394,"Hurt in committing robbery","BNS 309(6)",high,N,"Confirmed: directory"
395,"Dacoity","BNS 310(2)",high,N,"Confirmed: directory"
397,"Robbery/dacoity with deadly weapon","BNS 311",med,Y,"Not explicit in directory; BNS 311 covers; verify"
406,"Criminal breach of trust (punishment)","BNS 316(2)",high,N,"Confirmed: directory + tables"
409,"CBT by public servant/banker","BNS 316(5)",high,N,"Confirmed: directory"
411,"Dishonestly receiving stolen property","BNS 317(2)",high,N,"Confirmed: directory + tables"
415,"Cheating (definition)","BNS 318(1)",med,Y,"Directory: 417->318(2),420->318(4); 415 def->318(1); verify"
417,"Punishment for cheating","BNS 318(2)",high,N,"Confirmed: directory"
419,"Cheating by personation","BNS 319(2)",high,N,"Confirmed: directory"
420,"Cheating & inducing delivery of property","BNS 318(4)",high,N,"Confirmed: directory + tables"
427,"Mischief causing damage","324(4),(5)",high,N,"Confirmed: directory (BNS 324(4),(5))"
436,"Mischief by fire to destroy house","BNS 326G",high,N,"Corrected by directory (was 326(f))"
437,"Mischief to decked/large vessel","BNS 327(1)",high,N,"Corrected by directory (was 326(g))"
438,"Punishment mischief by fire (437)","BNS 327(8)",high,N,"Corrected by directory (was 326(h))"
447,"Criminal trespass (punishment)","BNS 329(3)",high,N,"Confirmed: directory + 2 tables"
448,"House trespass (punishment)","BNS 329(4)",high,N,"Confirmed: directory + 2 tables"
450,"House-trespass to commit life-punishable offence","BNS 332(B)",high,N,"Corrected by directory (was 332)"
452,"House-trespass after preparation for hurt","BNS 333",high,N,"Confirmed: directory"
457,"Lurking house-trespass/housebreaking by night","BNS 331(4)",high,N,"Confirmed: directory"
465,"Punishment for forgery","BNS 336(2)",high,N,"Confirmed: directory"
467,"Forgery of valuable security/will","BNS 338",high,N,"Confirmed: directory"
468,"Forgery for purpose of cheating","BNS 336(3)",high,N,"Confirmed: directory"
471,"Using forged document as genuine","BNS 340(2)",high,N,"Confirmed: directory"
482,"Using false property mark","VERIFY",low,Y,"Not in directory; verify"
494,"Bigamy (marrying again)","BNS 82(1)",med,Y,"Not in directory; BNS 82 bigamy; verify"
498,"Enticing/detaining married woman","BNS 84",med,Y,"Not in directory; BNS 84; verify"
498A,"Cruelty by husband/relatives","BNS 85",high,N,"Confirmed: directory (86 defines cruelty)"
500,"Punishment for defamation","BNS 356(2)",med,Y,"Not in directory; BNS 356 defamation; verify"
504,"Insult to provoke breach of peace","BNS 352",med,Y,"Not in directory; BNS 352; verify"
506,"Criminal intimidation (punishment)","BNS 351(2)",high,N,"Confirmed: directory (506->351(2); 351(3) if death/grievous threat)"
509,"Insult to modesty of woman","BNS 79",high,N,"Confirmed: directory + 2 tables"
511,"Attempt to commit offences","BNS 62",high,N,"Confirmed: directory"
